0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
248,Note-comment,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
249,Note-correction,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
250,Note-corrigendum,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
251,Note-erratum,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
252,Note-excerpt,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
253,Note-lecture notes,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
254,Note-notification of receipt,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
255,Note-quotation,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
256,Case Study-Outcome Case Study,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
257,Note-Outcome Note,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
262,Paper-Policy Working paper,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
265,Paper-Research,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
275,Policy Note,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
276,Policy Statement,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
277,Policy-DM Policy,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
281,postprint,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
283,post-wiki entry,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
298,Report-Dialogue Report,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
300,Report-internal report,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
301,Report-in-use paper,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
304,Report-Photo Report,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
306,Report-Policy Workshop Report,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
309,Report-report part,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
317,Review,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
